,logFC,logCPM,LR,PValue,padjFilter,FDR
EFR3A,-0.278663180254977,8.21538827029109,9.10060846785848,0.00255808936937593,0.00967593690845867,0.00967593690845867
PRKG1,-0.179762371453846,8.92861161481273,9.09798530973148,0.00256173737739479,0.00968061998588417,0.00968061998588417
GOLGB1,-0.235624263981021,8.67844968394344,9.06734571297898,0.00260501931126933,0.00983492723060987,0.00983492723060987
CD55,0.346976416809332,8.47302157333755,9.0592462710481,0.00261661697487995,0.00986943698412464,0.00986943698412464
EIF4G1,-0.319348525653211,8.04050083280066,9.03822176371239,0.00264681872935214,0.00997398765085136,0.00997398765085136
SERPINI1,0.316848919692174,8.1458338525846,9.03468823561911,0.00265195573673344,0.00998397956369093,0.00998397956369093
SMIM20,0.31454457303449,8.00503088774752,9.02886676524258,0.00266037295271426,0.0100062904036079,0.0100062904036079
NMRK1,0.31326444746535,8.05696710328429,9.02428759633062,0.00266705730577572,0.0100220478927045,0.0100220478927045
RPL14,0.0931367655008713,11.5279448770984,9.01960333670559,0.00267388273418855,0.0100383055544256,0.0100383055544256
DYNLRB1,0.156236731348315,8.94722248353743,9.00808766695855,0.00269077568692417,0.0100922931226652,0.0100922931226652
COX7B,0.161699541812328,8.83331608578116,9.00466878159341,0.00269581293378531,0.0101017542490817,0.0101017542490817
SUMO1,0.209261477577121,8.43073896810327,8.98469858814178,0.00272542101093303,0.0102031837846393,0.0102031837846393
TMTC1,0.362513473551091,8.1328300698759,8.95934824154654,0.0027635409268472,0.0103305242765347,0.0103305242765347
GPRC5C,0.347989694627552,8.09837841699492,8.95864537286025,0.00276457893882868,0.0103305242765347,0.0103305242765347
PDE4DIP,0.240048896877373,8.50379941594364,8.94418864344539,0.0027865380262662,0.0104029026501034,0.0104029026501034
COPS7A,0.312430562251651,8.00903178661623,8.93686866919438,0.00279769081564191,0.0104348412316003,0.0104348412316003
RNF114,0.3060974453603,8.07881982632393,8.9241778267824,0.00281720119363886,0.0104978638171125,0.0104978638171125
