,logFC,logCPM,LR,PValue,padjFilter,FDR
NUPR1,0.34813812154612,12.0279575774552,3.46340500690894,0.0629308212074643,0.158342066263942,0.158342066263942
B2M,0.26807854536684,12.6539350210571,3.43694172407174,0.0639459473364838,0.159609084551863,0.159609084551863
TRIR,0.326574442898174,12.1612848704417,3.40425943376943,0.0652403834650976,0.161547616199289,0.161547616199289
RPS3,-0.175951941856296,13.1319292776743,3.37890438399847,0.0662273537780567,0.162700270698848,0.162700270698848
SEPT11,0.364792542566735,12.10376432008,3.27973232325024,0.0703500855574061,0.171478333546177,0.171478333546177
RPS18,-0.169788075875586,13.3894836312664,3.26279395625443,0.0710604212552883,0.171867065361628,0.171867065361628
HSP90B1,0.307883226154227,12.3630056731143,3.23944278793618,0.0720939916235737,0.173025579896577,0.173025579896577
RPL27A,-0.194799741320741,12.7742223806704,3.17170085312318,0.075119519181679,0.178132199246157,0.178132199246157
ELOB,0.338217656068165,12.0403288332878,3.16654420294623,0.0753636227579897,0.178132199246157,0.178132199246157
CSRP1,0.367636066965892,12.1231789853427,3.14077540266834,0.0765738137497572,0.179631803683641,0.179631803683641
TPH1,-0.367973787762144,12.1198260123301,3.02312082301819,0.0822915960059595,0.189414934843975,0.189414934843975
KANK2,0.33594663714723,12.2234148553559,3.01345260408073,0.0828030629484821,0.189414934843975,0.189414934843975
RPL32,-0.172942246539173,13.2846922713614,3.00597168424179,0.0831554381218251,0.189414934843975,0.189414934843975
RPL23A,-0.164434730293854,13.1689737337249,3.00563319672438,0.0831725835693095,0.189414934843975,0.189414934843975
ST13,-0.284544272460109,12.3119221442949,2.97656985197528,0.084696295043186,0.191487275749812,0.191487275749812
TMA7,0.295767768782515,12.1005086779114,2.95373738401838,0.085884050846032,0.192775711251525,0.192775711251525
ZCRB1,0.332330348804216,12.1711712534458,2.93648851518731,0.0868084862094208,0.193458912123852,0.193458912123852
RPL9,-0.151961389023725,13.2967603659139,2.91146633445032,0.0881503925018125,0.193784639031077,0.193784639031077
RACK1,-0.263211042471442,12.3186995103379,2.9107328708057,0.088196854943631,0.193784639031077,0.193784639031077
RPL18,-0.203310436491047,12.7590341987243,2.88607093945302,0.0895658532403989,0.195416407069961,0.195416407069961
PPP1CB,0.224694103542988,12.5281908387403,2.86109048857406,0.0909479385406312,0.196381338777686,0.196381338777686
EDF1,0.280195407586574,12.0861842751552,2.85546059480134,0.0912669683421939,0.196381338777686,0.196381338777686
NDUFA4,0.309789224599206,12.0654264650386,2.83451574567033,0.0924657305693602,0.197597999572879,0.197597999572879
MALAT1,-0.287820940281017,12.4766924840667,2.80716496047512,0.0940520085871723,0.199620589654407,0.199620589654407
EIF4A2,0.265512982654117,12.2317703190697,2.69640007693101,0.100784659289781,0.212464957421701,0.212464957421701
RPS7,-0.197116101419761,12.6127038041075,2.6855124631013,0.10146744882435,0.212468751900653,0.212468751900653
RPL28,-0.211820075062523,12.5643314934071,2.62581523248627,0.105355359291132,0.219139147325556,0.219139147325556
MT-ND4,0.180959446808872,13.3000715694857,2.58477570744952,0.108117622703922,0.223395352871681,0.223395352871681
RPS27L,0.28945180217075,12.0997025049062,2.55922447924678,0.109861529096651,0.225505243935231,0.225505243935231
PALLD,-0.218211330186674,12.6153128437836,2.52749432044624,0.112083981693682,0.228563413649861,0.228563413649861
SUMO2,0.298127459575051,12.0359768280844,2.47615694047477,0.115793535218332,0.23459469472805,0.23459469472805
SYNPO2,-0.29886142063421,12.1669201867285,2.45905131573898,0.117059475868235,0.235629396586383,0.235629396586383
CANX,0.289000733522379,12.1046260485947,2.43817918596085,0.118628095615369,0.237256191230738,0.237256191230738
